Wavelength,Intensity
1565.835777,22
1565.982405,13
1566.129032,16
1566.27566,0
1566.422287,12
1566.568915,5
1566.715543,24
1566.86217,23
1567.008798,9
1567.155425,33
1567.302053,13
1567.44868,21
1567.595308,15
1567.741935,15
1567.888563,19
1568.035191,11
1568.181818,17
1568.328446,0
1568.475073,9
1568.621701,19
1568.768328,10
1568.914956,30
1569.061584,2
1569.208211,1
1569.354839,29
1569.501466,16
1569.648094,21
1569.794721,25
1569.941349,21
1570.087977,12
1570.234604,11
1570.381232,18
1570.527859,1
1570.674487,32
1570.821114,9
1570.967742,26
1571.11437,13
1571.260997,14
1571.407625,0
1571.554252,0
1571.70088,22
1571.847507,5
1571.994135,4
1572.140762,0
1572.28739,10
1572.434018,11
1572.580645,0
1572.727273,24
1572.8739,16
1573.020528,24
1573.167155,17
1573.313783,0
1573.460411,0
1573.607038,0
1573.753666,12
1573.900293,2
1574.046921,0
1574.193548,13
1574.340176,0
1574.486804,5
1574.633431,9
1574.780059,5
1574.926686,5
1575.073314,0
1575.219941,11
1575.366569,8
1575.513196,0
1575.659824,2
1575.806452,0
1575.953079,6
1576.099707,0
1576.246334,10
1576.392962,32
1576.539589,2
1576.686217,17
1576.832845,3
1576.979472,12
1577.1261,16
1577.272727,0
1577.419355,1
1577.565982,6
1577.71261,41
1577.859238,9
1578.005865,12
1578.152493,34
1578.29912,17
1578.445748,29
1578.592375,19
1578.739003,13
1578.88563,38
1579.032258,11
1579.178886,21
1579.325513,30
1579.472141,5
1579.618768,19
1579.765396,11
1579.912023,22
1580.058651,7
1580.205279,3
1580.351906,9
1580.498534,21
1580.645161,0
1580.791789,0
1580.938416,15
1581.085044,21
1581.231672,22
1581.378299,5
1581.524927,0
1581.671554,13
1581.818182,1
1581.964809,32
1582.111437,0
1582.258065,0
1582.404692,17
1582.55132,13
1582.697947,11
1582.844575,13
1582.991202,0
1583.13783,16
1583.284457,0
1583.431085,36
1583.577713,1
1583.72434,21
1583.870968,16
1584.017595,0
1584.164223,21
1584.31085,6
1584.457478,0
1584.604106,4
1584.750733,7
1584.897361,3
1585.043988,3
1585.190616,0
1585.337243,10
1585.483871,1
1585.630499,14
1585.777126,0
1585.923754,0
1586.070381,0
1586.217009,0
1586.363636,0
1586.510264,13
1586.656891,0
1586.803519,7
1586.950147,20
1587.096774,0
1587.243402,0
1587.390029,21
1587.536657,18
1587.683284,0
1587.829912,6
1587.97654,19
1588.123167,0
1588.269795,3
1588.416422,0
1588.56305,0
1588.709677,15
1588.856305,9
1589.002933,9
1589.14956,1
1589.296188,16
1589.442815,34
1589.589443,8
1589.73607,21
1589.882698,17
1590.029326,23
1590.175953,36
1590.322581,16
1590.469208,12
1590.615836,0
1590.762463,5
1590.909091,28
1591.055718,17
1591.202346,13
1591.348974,0
1591.495601,3
1591.642229,10
1591.788856,5
1591.935484,0
1592.082111,30
1592.228739,19
1592.375367,9
1592.521994,22
1592.668622,6
1592.815249,13
1592.961877,1
1593.108504,5
1593.255132,6
1593.40176,16
1593.548387,22
1593.695015,10
1593.841642,14
1593.98827,6
1594.134897,21
1594.281525,15
1594.428152,14
1594.57478,14
1594.721408,6
1594.868035,3
1595.014663,9
1595.16129,0
1595.307918,21
1595.454545,24
1595.601173,10
1595.747801,36
1595.894428,1
1596.041056,13
1596.187683,0
1596.334311,0
1596.480938,17
1596.627566,9
1596.774194,3
1596.920821,0
1597.067449,0
1597.214076,20
1597.360704,0
1597.507331,6
1597.653959,7
1597.800587,4
1597.947214,0
1598.093842,1
1598.240469,9
1598.387097,0
1598.533724,8
1598.680352,17
1598.826979,0
1598.973607,24
1599.120235,20
1599.266862,10
1599.41349,13
1599.560117,0
1599.706745,7
1599.853372,7
1600,3
1600.146628,16
1600.293255,0
1600.439883,26
1600.58651,33
1600.733138,16
1600.879765,11
1601.026393,3
1601.173021,26
1601.319648,28
1601.466276,14
1601.612903,5
1601.759531,0
1601.906158,9
1602.052786,0
1602.199413,10
1602.346041,11
1602.492669,0
1602.639296,0
1602.785924,13
1602.932551,0
1603.079179,19
1603.225806,0
1603.372434,13
1603.519062,20
1603.665689,18
1603.812317,25
1603.958944,0
1604.105572,14
1604.252199,6
1604.398827,20
1604.545455,13
1604.692082,0
1604.83871,17
1604.985337,15
1605.131965,19
1605.278592,23
1605.42522,9
1605.571848,9
1605.718475,0
1605.865103,0
1606.01173,13
1606.158358,14
1606.304985,17
1606.451613,18
1606.59824,41
1606.744868,20
1606.891496,0
1607.038123,18
1607.184751,0
1607.331378,45
1607.478006,0
1607.624633,0
1607.771261,28
1607.917889,13
1608.064516,9
1608.211144,9
1608.357771,17
1608.504399,13
1608.651026,9
1608.797654,21
1608.944282,17
1609.090909,15
1609.237537,2
1609.384164,23
1609.530792,9
1609.677419,7
1609.824047,0
1609.970674,5
1610.117302,0
1610.26393,3
1610.410557,14
1610.557185,5
1610.703812,9
1610.85044,8
1610.997067,17
1611.143695,13
1611.290323,13
1611.43695,19
1611.583578,14
1611.730205,9
1611.876833,38
1612.02346,10
1612.170088,0
1612.316716,7
1612.463343,0
1612.609971,50
1612.756598,23
1612.903226,13
1613.049853,5
1613.196481,23
1613.343109,45
1613.489736,33
1613.636364,39
1613.782991,16
1613.929619,17
1614.076246,25
1614.222874,8
1614.369501,21
1614.516129,0
1614.662757,30
1614.809384,2
1614.956012,1
1615.102639,14
1615.249267,4
1615.395894,26
1615.542522,29
1615.68915,22
1615.835777,11
1615.982405,10
1616.129032,29
1616.27566,4
1616.422287,31
1616.568915,25
1616.715543,13
1616.86217,45
1617.008798,26
1617.155425,16
1617.302053,25
1617.44868,0
1617.595308,0
1617.741935,15
1617.888563,14
1618.035191,25
1618.181818,0
